date,total_bankroll,units_won,share_price,record,return,unit_price,shares
5/18/2026,1000,0,10,(1-1),0,10,100
5/19/2026,934.74,-6,9.35,(0-3),-60,10,100
5/20/2026,980.36,4.54,9.8,(2-0-1),45.4,10,100
5/21/2026,966.29,-1.4,9.66,(1-1),-14,10,100
5/22/2026,997.85,3.14,9.98,(3-1),31.4,10,100
5/23/2026,1022.47,2.45,10.22,(5-3),24.5,10,100
5/24/2026,1001.57,-2.08,10.02,(1-3),-20.8,10,100
5/25/2026,1031.42,2.97,10.31,(2-0),29.85,10.05,100
5/26/2026,1049.61,1.81,10.5,(2-1),18.19,10.05,100
5/27/2026,1082.77,3.3,10.83,(1-0),33.17,10.05,100
5/28/2026,1035.74,-4.68,10.36,(0-4),-47.03,10.05,100
5/29/2026,1055.84,2,10.56,(1-0),20.1,10.05,100
5/30/2026,1030.71,-2.5,10.31,(0-2),-25.13,10.05,100
5/31/2026,1326.03,2.84,10.61,(2-1),28.54,10.05,125
6/1/2026,1347.25,2,10.78,(1-0),21.22,10.61,125
6/2/2026,1358.18,1.03,10.87,(1-1),10.93,10.61,125
6/3/2026,1500.57,3.42,11.12,(2-1),36.29,10.61,135
6/4/2026,1504.81,0.4,11.15,(1-1),4.24,10.61,135
6/5/2026,1519.24,1.36,11.25,(1-1),14.43,10.61,135
6/6/2026,1498.02,-2,11.1,(0-1),-21.22,10.61,135
6/7/2026,1498.02,0,11.1,(0-0),0,10.61,135
6/8/2026,1464.72,-3,10.85,(0-1),-33.3,11.1,135
6/9/2026,1464.72,0,10.85,(1-1),0,11.1,135
6/10/2026,1675.62,19,12.41,(3-0),210.9,11.1,135
6/11/2026,1695.71,1.81,12.56,(2-1-1),20.09,11.1,135
6/12/2026,1647.87,-2.5,12.21,(0-1),-27.75,11.1,135
6/13/2026,1874.46,-1.63,12.09,(2-2),-18.09,11.1,155
6/14/2026,1869.11,-0.5,12.06,(2-2),,11.1,155
6/15/2026,2160.44,-1.76,11.94,(2-2),-21.23,12.06,179.16
6/16/2026,2084.94,-4.5,11.64,(2-4),-54.27,12.06,179.16
6/17/2026,2109.66,2.05,11.78,(4-3),24.72,12.06,179.16
6/18/2026,2089.76,-1.65,11.66,(1-2),-19.9,12.06,179.16
6/19/2026,2136.79,3.9,11.93,(3-1),47.03,12.06,179.16
6/20/2026,2206.74,5.8,12.32,(4-0),69.95,12.06,179.16
6/21/2026,2223.38,1.38,12.41,(3-2),16.64,12.06,179.16
6/22/2026,2345.37,5.83,12.81,(6-1),72.35,12.41,183.16
6/23/2026,2288.28,-4.6,12.49,(2-4),-57.09,12.41,183.16
6/24/2026,2256.01,-2.6,12.32,(2-5),-32.27,12.41,183.16
6/25/2026,2177.33,-6.34,11.89,(1-2-1),-78.68,12.41,183.16
6/26/2026,2250.42,5.89,12.29,(3-1),73.1,12.41,183.16
6/27/2026,2189.61,-4.9,11.96,(0-3),-60.81,12.41,183.16
6/28/2026,2146.17,-3.5,11.72,(0-1),-43.44,12.41,183.16
6/29/2026,2160.23,1.2,11.79,(2-2),14.06,11.72,183.16
6/30/2026,2103.97,-4.8,11.49,(2-4),-56.26,11.72,183.16
7/1/2026,2118.03,1.2,11.56,(2-2),14.06,11.72,183.16
7/2/2026,2150.14,2.74,11.74,(2-1),32.11,11.72,183.16
7/3/2026,2120.84,-2.5,11.58,(0-1),-29.3,11.72,183.16
7/4/2026,2143.11,1.9,11.7,(1-1),22.27,11.72,183.16
7/5/2026,2194.68,4.4,11.98,(2-1),51.57,11.72,183.16
7/6/2026,2362.76,14.03,12.9,(4-0),168.08,11.98,183.16
7/7/2026,2360.36,-0.2,12.89,(1-1),-2.4,11.98,183.16
7/8/2026,2360.36,0,12.89,(0-0),,11.98,183.16
7/9/2026,2235.77,-10.4,12.21,(2-4),-124.59,11.98,183.16
7/10/2026,2464.47,10,12.86,(3-2),119.8,11.98,193.16
